"Skola","SkolaNew","Pieteikti","Est5To12","RakstVieta","Notes"
"Ventspils 2.vidusskola","Ventspils 2. vidusskola",25,345,"Liepāja",
"Ventspils 4.vidusskola","Ventspils 4. vidusskola",12,455,"Liepāja",
"Ventspils 5.vidusskola","Ventspils 5. vidusskola",10,156,"Liepāja",
"Ventspils 6.vidusskola","Ventspils 6. vidusskola",11,384,"Liepāja",
"Ventspils Centra sākumskola","Ventspils Centra sākumskola",6,122,"Liepāja",
"Ventspils Valsts 1.ģimnāzija","Ventspils Valsts 1. ģimnāzija",19,375,"Liepāja",
"Viesītes vidusskola","Viesītes vidusskola",8,176,"Rīga",
"Viļakas novada Rekavas vidusskola","Rekavas vidusskola",6,129,"Daugavpils",
"Viļānu vidusskola","Viļānu vidusskola",13,0,"Daugavpils",
"Ziemeļvalstu ģimnāzija","Ziemeļvalstu ģimnāzija",7,0,"Rīga",
"Zvejniekciema vidusskola","Zvejniekciema vidusskola",14,169,"Rīga",
"Dekšāru pamatskola","Dekšāru pamatskola",0,0,"NN",
"Privātā vidusskola Ādažu Brīvā Valdorfa skola","Privātā vidusskola Ādažu Brīvā Valdorfa skola",0,0,"NN",
