"Skola","SkolaNew","Pieteikti","Est5To12","RakstVieta","Notes"
"Friča Brīvzemnieka pamatskola","Friča Brīvzemnieka pamatskola",11,0,"Rīga",
"Gaigalavas pamatskola","Gaigalavas pamatskola",1,0,"Daugavpils",
"Garkalnes Mākslu un vispārizglītojošā vidusskola","Garkalnes Mākslu un vispārizglītojošā vidusskola",1,0,"Rīga",
"Grobiņas ģimnāzija","Grobiņas ģimnāzija",29,27,"Liepāja",
"Grobiņas novada KAPSĒDES pamatskola","Kapsēdes pamatskola",4,57,"Liepāja",
"Grobiņas sākumskola","Grobiņas sākumskola",12,105,"Liepāja",
"Grundzāles pamatskola","Grundzāles pamatskola",4,41,"Rīga",
"Gulbenes 2. vidusskola","Gulbenes 2. vidusskola",5,307,"Rīga",
"Gulbenes novada valsts ģimnāzija","Gulbenes novada valsts ģimnāzija",6,186,"Rīga",
"Gulbenes vidusskola","Gulbenes vidusskola",5,177,"Rīga",
"Iecavas vidusskola","Iecavas vidusskola",1,0,"Rīga",
"Ikšķiles vidusskola","Ikšķiles vidusskola",26,395,"Rīga",
"Ilmāra Gaiša Kokneses vidusskola","Ilmāra Gaiša Kokneses vidusskola",1,0,"Daugavpils",
"Ilūkstes 1.vidusskola","Ilūkstes 1. vidusskola",4,199,"Daugavpils",
"Iļģuciema vidusskola","Iļģuciema vidusskola",3,0,"Rīga",
"Inčukalna pamatskola","Inčukalna pamatskola",6,97,"Rīga",
"ISMA vidusskola ""Premjers""","Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",8,0,"Rīga",
"J. Čakstes Liepājas pilsētas 10. vidusskola","J. Čakstes Liepājas pilsētas 10. vidusskola",17,391,"Liepāja",
"J.Endzelīna Kauguru pamatskola","J.Endzelīna Kauguru pamatskola",6,73,"Rīga",
"J.G.Herdera Rīgas Grīziņkalna vidusskola","J.G.Herdera Rīgas Grīziņkalna vidusskola",12,0,"Rīga",
"J.Pilsudska Daugavpils valsts poļu ģimnāzija","J.Pilsudska Daugavpils valsts poļu ģimnāzija",12,188,"Daugavpils",
"Jaunjelgavas vidusskola","Jaunjelgavas vidusskola",1,123,"Rīga",
"Jaunlaicenes pamatskola","Jaunlaicenes pamatskola",1,0,"Rīga",
"Jaunmārupes pamatskola","Jaunmārupes pamatskola",6,0,"Rīga",
"Jaunogres vidusskola","Jaunogres vidusskola",6,0,"Rīga",
"Jaunpils vidusskola","Jaunpils vidusskola",2,152,"Rīga",
"Jaunsilavas pamatskola","Jaunsilavas pamatskola",7,68,"Daugavpils",
"Jelgavas 2.pamatskola","Jelgavas 2. pamatskola",8,271,"Rīga",
"Jelgavas 3.sākumskola","Jelgavas 3. sākumskola",40,194,"Rīga",
"Jelgavas 4.sākumskola","Jelgavas 4. sākumskola",41,306,"Rīga",
"Jelgavas 4.vidusskola","Jelgavas 4. vidusskola",24,572,"Rīga",
"Jelgavas 5. vidusskola","Jelgavas 5. vidusskola",16,0,"Rīga",
"Jelgavas 6. vidusskola","Jelgavas 6. vidusskola",1,0,"Rīga",
"Jelgavas Mūzikas vidusskola","Jelgavas Mūzikas vidusskola",2,0,"Rīga",
"Jelgavas Spīdolas ģimnāzija","Jelgavas Spīdolas ģimnāzija",52,479,"Rīga",
"Jelgavas Tehnoloģiju vidusskola","Jelgavas Tehnoloģiju vidusskola",7,373,"Rīga",
