School,Municipality
Tilžas vidusskola,Balvu novads
Balvu Valsts ģimnāzija,Balvu novads
Tilžas internātpamatskola,Balvu novads
Bauskas pilsētas pamatskola,Bauskas novads
Codes pamatskola,Bauskas novads
Griķu pamatskola,Bauskas novads
Jaunsaules pamatskola,Bauskas novads
Mežgaļu pamatskola,Bauskas novads
Mežotnes pamatskola,Bauskas novads
Ozolaines pamatskola,Bauskas novads
Vecsaules pamatskola,Bauskas novads
Īslīces vidusskola,Bauskas novads
Uzvaras vidusskola,Bauskas novads
Bauskas 2. vidusskola,Bauskas novads
Bauskas Valsts ģimnāzija,Bauskas novads
Bauskas sākumskola,Bauskas novads
Mežotnes internātvidusskola,Bauskas novads
J. Endzelīna Kauguru pamatskola,Beverīnas novads
J.Endzelīna Kauguru pamatskola,Beverīnas novads
Trikātas pamatskola,Beverīnas novads
Blīdenes pamatskola,Brocēnu novads
Gaiķu pamatskola,Brocēnu novads
Remtes pamatskola,Brocēnu novads
Brocēnu vidusskola,Brocēnu novads
Ēveles pamatskola,Burtnieku novads
Matīšu pamatskola,Burtnieku novads
Rencēnu pamatskola,Burtnieku novads
Burtnieku Ausekļa vidusskola,Burtnieku novads
Carnikavas pamatskola,Carnikavas novads
Cesvaines vidusskola,Cesvaines novads
Cesvaines internātpamatskola,Cesvaines novads
Cēsu 1. pamatskola,Cēsu novads
Cēsu 2. pamatskola,Cēsu novads
Cēsu pilsētas pamatskola,Cēsu novads
Līvu pamatskola,Cēsu novads
Rāmuļu pamatskola,Cēsu novads
Cēsu 2. vidusskola,Cēsu novads
Cēsu 2. vakara (maiņu) vidusskola,Cēsu novads
Cēsu Valsts ģimnāzija,Cēsu novads
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,Cēsu novads
Alfrēda Kalniņa Cēsu Mūzikas vidusskola,Cēsu novads
Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,Cēsu novads
Cēsu Profesionālā vidusskola,Cēsu novads
Cirmas pamatskola,Ciblas novads
Pušmucovas pamatskola,Ciblas novads
Šķaunes pamatskola,Dagdas novads
Andrupenes pamatskola,Dagdas novads
Andzeļu pamatskola,Dagdas novads
Asūnes pamatskola,Dagdas novads
Ezernieku vidusskola,Dagdas novads
Dagdas vidusskola,Dagdas novads
Naujenes pamatskola,Daugavpils novads
Nīcgales pamatskola,Daugavpils novads
Skrudalienas pamatskola,Daugavpils novads
Biķernieku pamatskola,Daugavpils novads
Birznieku pamatskola,Daugavpils novads
Randenes pamatskola,Daugavpils novads
Tabores pamatskola,Daugavpils novads
Kalupes pamatskola,Daugavpils novads
Lāču pamatskola,Daugavpils novads
Vaboles vidusskola,Daugavpils novads
Zemgales vidusskola (Daugavpils nov.),Daugavpils novads
Daugavpils Vienības pamatskola,Daugavpils
Daugavpils 11. pamatskola,Daugavpils
Daugavpils Saskaņas pamatskola,Daugavpils
Daugavpils 12. vidusskola,Daugavpils
Daugavpils 10. vidusskola,Daugavpils
Daugavpils 15. vidusskola,Daugavpils
Daugavpils Krievu vidusskola - licejs,Daugavpils
J. Raiņa Daugavpils 6. vidusskola,Daugavpils
Daugavpils Centra vidusskola,Daugavpils
Daugavpils 13. vidusskola,Daugavpils
Daugavpils 16. vidusskola,Daugavpils
Daugavpils 17. vidusskola,Daugavpils
Daugavpils 3. vidusskola,Daugavpils
Daugavpils 9. vidusskola,Daugavpils
J.Pilsudska Daugavpils valsts poļu ģimnāzija,Daugavpils
Daugavpils Valsts ģimnāzija,Daugavpils
Daugavpils Celtnieku profesionālā vidusskola,Daugavpils
Daugavpils Mūzikas vidusskola,Daugavpils
Daugavpils Valsts tehnikums,Daugavpils
Daugavpils logopēdiskā internātpamatskola - attīstības centrs,Daugavpils
Dobeles Kristīgā pamatskola,Dobeles novads
Bikstu pamatskola,Dobeles novads
Gardenes pamatskola,Dobeles novads
Krimūnu pamatskola,Dobeles novads
Naudītes pamatskola,Dobeles novads
Penkules pamatskola,Dobeles novads
Annenieku pamatskola,Dobeles novads
Lejasstrazdu pamatskola,Dobeles novads
Dobeles 1. vidusskola,Dobeles novads
Dobeles Valsts ģimnāzija,Dobeles novads
