School,Municipality
Saldus novada pašvaldības Striķu pamatskola,Saldus novads
Saldus novada pašvaldības Zirņu pamatskola,Saldus novads
Saldus 2. vidusskola,Saldus novads
Saldus 1.vidusskola,Saldus novads
Saldus 1. vidusskola,Saldus novads
Saldus novada pašvaldības Druvas vidusskola,Saldus novads
Saldus novada pašvaldības Ezeres vidusskola,Saldus novads
Saldus novada pašvaldības Kalnu vidusskola,Saldus novads
Saldus Vakara vidusskola,Saldus novads
Saldus novada pašvaldības Cieceres internātpamatskola,Saldus novads
Saulkrastu vidusskola,Saulkrastu novads
Zvejniekciema vidusskola,Saulkrastu novads
Sējas pamatskola,Sējas novads
Murjāņu sporta ģimnāzija,Sējas novads
Siguldas 1. pamatskola,Siguldas novads
Allažu pamatskola,Siguldas novads
Mores pamatskola,Siguldas novads
Siguldas pilsētas vidusskola,Siguldas novads
Siguldas Valsts ģimnāzija,Siguldas novads
Andreja Upīša Skrīveru vidusskola,Skrīveru novads
Nīkrāces pamatskola,Skrundas novads
Oskara Kalpaka Rudbāržu pamatskola,Skrundas novads
Skrundas vidusskola,Skrundas novads
Skrundas Profesionālā vidusskola,Skrundas novads
Bilskas pamatskola,Smiltenes novads
Blomes pamatskola,Smiltenes novads
Grundzāles pamatskola,Smiltenes novads
Palsmanes pamatskola,Smiltenes novads
Variņu pamatskola,Smiltenes novads
Smiltenes Centra vidusskola,Smiltenes novads
Smiltenes ģimnāzija,Smiltenes novads
Smiltenes Trīs pakalnu sākumskola,Smiltenes novads
Stopiņu pamatskola,Stopiņu novads
Ulbrokas vidusskola,Stopiņu novads
Upesleju internātpamatskola – rehabilitācijas centrs,Stopiņu novads
Strenču novada vidusskola,Strenču novads
Stendes pamatskola,Talsu novads
Talsu pamatskola,Talsu novads
Laidzes pamatskola,Talsu novads
Laucienes pamatskola,Talsu novads
Laucienes pamatskolas filiāle,Talsu novads
Pastendes pamatskola,Talsu novads
Pūņu pamatskola,Talsu novads
Virbu pamatskola,Talsu novads
Vandzenes pamatskola,Talsu novads
Sabiles vidusskola,Talsu novads
Talsu 2. vidusskola,Talsu novads
Talsu Kristīgā vidusskola,Talsu novads
Valdemārpils vidusskola,Talsu novads
Talsu novada Vakara un neklātienes vidusskola,Talsu novads
Talsu Valsts ģimnāzija,Talsu novads
Bukaišu pamatskola,Tērvetes novads
Tērvetes pamatskola,Tērvetes novads
Annas Brigaderes pamatskola,Tērvetes novads
Augstkalnes vidusskola,Tērvetes novads
Tukuma 2. pamatskola,Tukuma novads
Tukuma E. Birznieka-Upīša 1. pamatskola,Tukuma novads
Tukuma E.Birznieka-Upīša 1. pamatskola,Tukuma novads
Džūkstes pamatskola,Tukuma novads
Pūres pamatskola,Tukuma novads
Tukuma 2. vidusskola,Tukuma novads
Irlavas vidusskola,Tukuma novads
Tumes vidusskola,Tukuma novads
Zemgales vidusskola (Tukuma nov.),Tukuma novads
Tukuma Vakara un neklātienes vidusskola,Tukuma novads
Tukuma Raiņa ģimnāzija,Tukuma novads
Vaiņodes vidusskola,Vaiņodes novads
Vaiņodes internātpamatskola,Vaiņodes novads
Ērģemes pamatskola,Valkas novads
Kārķu pamatskola,Valkas novads
Ozolu pamatskola,Valkas novads
Vijciema pamatskola,Valkas novads
Valkas pamatskola,Valkas novads
Valkas ģimnāzija,Valkas novads
Jaunburtnieku pamatskola,Kocēnu novads
Jura Neikena Dikļu pamatskola,Kocēnu novads
Kocēnu pamatskola,Kocēnu novads
Rubenes pamatskola,Kocēnu novads
Valmieras 5. vidusskola,Valmiera
Valmieras Viestura vidusskola,Valmiera
Valmieras 2. vidusskola,Valmiera
Valmieras 2.vidusskolas filiāle,Valmiera
Valmieras Pārgaujas ģimnāzija,Valmiera
Valmieras Valsts ģimnāzija,Valmiera
Valmieras vājdzirdīgo bērnu internātvidusskola - attīstības centrs,Valmiera
Murmastienes pamatskola,Varakļānu novads
Varakļānu novada pašvaldības Stirnienes pamatskola,Varakļānu novads
Varakļānu vidusskola,Varakļānu novads
Vārkavas pamatskola,Vārkavas novads
Vārkavas vidusskola,Vārkavas novads
Taurenes pamatskola,Vecpiebalgas novads
Dzērbenes vidusskola,Vecpiebalgas novads
Vecpiebalgas vidusskola,Vecpiebalgas novads
Stelpes pamatskola,Vecumnieku novads
Misas vidusskola,Vecumnieku novads
Skaistkalnes vidusskola,Vecumnieku novads
Vecumnieku novada Domes Valles vidusskola,Vecumnieku novads
Vecumnieku vidusskola,Vecumnieku novads
Ances pamatskola,Ventspils novads
Popes pamatskola,Ventspils novads
Puzes pamatskola,Ventspils novads
Užavas pamatskola,Ventspils novads
Zlēku pamatskola,Ventspils novads
Zūru pamatskola,Ventspils novads
Piltenes vidusskola,Ventspils novads
Ugāles vidusskola,Ventspils novads
Ventspils 1. pamatskola,Ventspils
Ventspils 4. vidusskola,Ventspils
Ventspils 5. vidusskola,Ventspils
Ventspils 2. vidusskola,Ventspils
Ventspils 3. vidusskola,Ventspils
Ventspils 6. vidusskola,Ventspils
Ventspils vakara vidusskola,Ventspils
Ventspils 1. ģimnāzija,Ventspils
"Ventspils Valsts 1. ģimnāzija",Ventspils 
Viesītes vidusskola,Viesītes novads
Mežvidu pamatskola,Viļakas novads
Upītes pamatskola,Viļakas novads
Viduču pamatskola,Viļakas novads
Žīguru pamatskola,Viļakas novads
Kupravas pamatskola,Viļakas novads
Rekavas vidusskola,Viļakas novads
Viļakas Valsts ģimnāzija,Viļakas novads
Dekšāru pamatskola,Viļānu novads
Viļānu vidusskola,Viļānu novads
Zilupes vidusskola,Zilupes novads
Ciblas vidusskola,Ciblas novads
"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",Daugavpils
Daugavpils Profesionālā vidusskola,Daugavpils
Daugavpils Universitāte,Daugavpils
Dobeles Amatniecības un vispārizglītojošā vidusskola. Apguldes mācību komplekss.,Dobeles novads
Eiropas Tālmācības vidusskola,Rīga
Emiļa Melngaiļa Liepājas mūzikas vidusskola,Liepāja
Ērgļu Profesionālā vidusskola,Ērgļu novads
Garkalnes Mākslu un vispārizglītojošā vidusskola,Garkalnes novads
Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,Gulbenes novads
Jāņa Ivanova Rēzeknes mūzikas vidusskola,Rēzekne
Jaņa Rozentāla Rīgas Mākslas vidusskola,Rīga
Jaungulbenes Professionālā vidusskola,Gulbenes novads
Jaunogres vidusskola,Ogres novads
Jāzepa Mediņa Rīgas Mūzikas vidusskola,Rīga
Jēkabpils 2. vidusskola,Jēkabpils
Jēkabpils Agrobiznesa koledža,Jēkabpils
Jēkabpils vakara vidusskola,Jēkabpils
Jelgavas 2. internātpamatskola,Jelgava
Jelgavas Mūzikas vidusskola,Jelgava
Jelgavas novada Neklātienes vidusskola,Jelgavas novads
Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,Jelgavas novads
Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,Jelgavas novads
Jelgavas Tehnikums,Jelgava
Jelgavas Tehnoloģiju vidusskola,Jelgava
Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,Jelgava
Kalniešu pamatskola,Krāslavas novads
Kuldīgas Tehnoloģiju un tūrisma tehnikums,Kuldīgas novads
Ķekavas vidusskola,Ķekavas novads
Laidzes Profesionālā vidusskola,Talsu novads
Latvijas Jūras akadēmijas Jūrskola,Rīga
Latvijas Jūras akadēmijas Jūrskola (Ventspils),Ventspils
Latvijas Universitāte,Rīga
Liepājas Jūrniecības koledža,Liepāja
Liepājas mākslas vidusskola,Liepāja
Liepājas Universitāte,Liepāja
Limbažu 3. vidusskolas struktūrvienība,Limbažu novads
Līvānu 2. vidusskola,Līvānu novads
Ludzas novada vakara vidusskola,Ludzas novads
Lūznavas Profesionālā vidusskola,Rēzeknes novads
Malnavas koledža,Kārsavas novads
Mālpils novada vidusskola,Mālpils novads
Mālpils Profesionālā vidusskola,Mālpils novads
Ogres tehnikums,Ogres novads
Olaines Mehānikas un tehnoloģijas koledža,Olaines novads
"PIKC ""Rīgas Valsts tehnikums"" Balvu teritoriālā struktūrvienība",Balvu novads
PIKC RVT Krāslavas reģionālā struktūrvienība ,Krāslavas novads
Preiļu Valsts ģimnāzija,Preiļu novads
Priekuļu tehnikums,Preiļu novads
"Priekuļu tehnikums, Jāņmuižas filiāle",Preiļu novads
"Privātā Profesionālā vidusskola ""SIGMA""",Rīga
Privātā Rīgas Tehnolingvistiskā ģimnāzija,Rīga
"Profesionālā vidusskola ""RIMAN""",Rīga
"Profesionālā Vidusskola ""VICTORIA""",Rīga
"Profesionālās izglītības kompetences centrs ""Kandavas Valsts lauksaimniecības tehnikums""",Kandavas novads
"Profesionālās izglītības kompetences centrs ""Rīgas Valsts tehnikums""",Rīga
Rēzeknes 14. arodvidusskola,Rēzekne
Rēzeknes Mākslas un dizaina vidusskola,Rēzekne
Rēzeknes Profesionālā vidusskola,Rēzekne
Rēzeknes Valsts ģimnāzija,Rēzekne
Rēzeknes valsts poļu ģimnāzija,Rēzekne
Rīgas 1. vidusskola,Rīga
Rīgas 2. speciālā internātpamatskola,Rīga
Rīgas 4. speciālā internātpamatskola,Rīga
Rīgas Amatniecības vidusskola,Rīga
Rīgas Celtniecības koledža,Rīga
Rīgas Centra krievu privātģimnāzija,Rīga
Rīgas Dizaina un mākslas vidusskola,Rīga
"Rīgas ģimnāzija ""Maksima""",Rīga
Rīgas horeogrāfijas vidusskola,Rīga
Rīgas Pārdaugavas profesionālā vidusskola,Rīga
Rīgas Pārdaugavas profesionālā vidusskola (Galdniecības nodaļa),Rīga
Rīgas Stila un modes profesionālā vidusskola,Rīga
Rīgas Tehniskā koledža,Rīga
Rīgas Tirdzniecības profesionālā vidusskola,Rīga
Rīgas Uzņēmējdarbības koledža,Rīga
Rīgas Uzņēmējdarbības tehniskā vidusskola,Rīga
Saldus Profesionālā vidusskola,Saldus novads
Salienas vidusskola,Daugavpils novads
Silenes pamatskola,Daugavpils novads
Smiltenes tehnikums,Smiltenes novads
Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola,Jūrmala
Starptautiskā komercialā profesionalā vidusskola,Rīga
Sventes vidusskola,Daugavpils novads
Špoģu vidusskola,Daugavpils novads
Tukuma 3. pamatskola,Tukuma novads
Valmieras Mākslas vidusskola,Valmiera
Valmieras Profesionālā vidusskola,Valmiera
"Valsts sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola""",Jūrmala
"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""",Rīga
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,Kokneses novads
Ventspils Mūzikas vidusskola,Ventspils
Ventspils Tehnikums,Ventspils
Viduslatgales Profesionālā vidusskola Dagda,Dagdas novads
Viduslatgales Profesionālā vidusskola Jaunaglona,Aglonas novads
Viduslatgales Profesionālā vidusskola Preiļi,Preiļu novads
Viduslatgales Profesionālā vidusskola Višķi,Daugavpils novads
Vidzemes Augstskola,Valmiera
Viļānu 41. arodvidusskola,Viļānu novads
Zaļenieku komerciālā un amatniecības vidusskola,Jelgavas novads
Zemgales vidusskola,Tukuma novads
"Aizputes novada Neklātienes vidusskola","Aizputes novads"
"Baltinavas Kristīgā internātpamatskola","Baltinavas novads"
"Balvu profesionālā un vispārizglītojošā vidusskola","Balvu novads"
"Daugavpils 1. speciālā pamatskola","Daugavpils"
"Dobeles sākumskola","Dobeles novads"
"Dzērbenes vispārizglītojošā un mūzikas pamatskola","Vecpiebalgas novads"
"Dzirciema internātpamatskola","Tukuma novads"
"Gaismas internātpamatskola","Stopiņu novads"
"Gārsenes pamatskola","Aknīstes novads"
"Gaujienas internātpamatskola","Apes novads"
"Grobiņas pagasta sākumskola","Grobiņas novads"
"Indras vidusskola","Krāslavas novads"
"Inešu pamatskola","Vecpiebalgas novads"
"Jaunmārupes pamatskola","Mārupes novads"
"Jaunmārupes sākumskola","Mārupes novads"
"Jaunmuižas pamatskola","Skrundas novads"
"Jelgavas 1. internātpamatskola","Jelgava"
"Jelgavas 3. sākumskola","Jelgava"
"Jelgavas 4. sākumskola","Jelgava"
"J.G.Herdera Rīgas Grīziņkalna vidusskola","Rīga"
"Jumpravas speciālā internātpamatskola","Lielvārdes novads"
"Jūrkalnes pamatskola","Ventspils novads"
"Jūrmalas pilsētas internātpamatskola","Jūrmala"
"Katvaru internātpamatskola","Limbažu novads"
"Krimūnu sākumskola","Dobeles novads"
"Launkalnes sākumskola","Smiltenes novads"
"Laurenču sākumskola","Siguldas novads"
"Lažas speciālā internātpamatskola","Aizputes novads"
"Lazdiņas privātā pamatskola ""Punktiņš""","Jelgava"
"Lejasstrazdu sākumskola","Dobeles novads"
"Lībagu sākumskola","Talsu novads"
"Liepājas Centra sākumskola","Liepāja"
"Liepājas Ezerkrasta sākumskola","Liepāja"
"Liepājas speciālā internātpamatskola","Liepāja"
"Maltas speciālā internātpamatskola","Rēzeknes novads"
"Maltas vidusskola","Rēzeknes novads"
"Mārupes novada Skultes sākumskola","Mārupes novads"
"Matkules sākumskola","Kandavas novads"
"Mazirbes internātpamatskola","Dundagas novads"
"Medumu internātpamatskola","Daugavpils novads"
"Medumu pamatskola","Daugavpils novads"
"Ogres sākumskola","Ogres novads"
"Piejūras internātpamatskola","Carnikavas novads"
"Pļavniekkalna sākumskola","Ķekavas novads"
"Privātā Montessori sākumskola","Mārupes novads"
"Privātā pamatskola ""RIMS-Rīga International meridian school""","Rīga"
"RIMS - Riga International Meridian School",Rīga
"Privātā sākumskola ""Namiņš""","Rīga"
"Privātā sākumskola ""Vinnijs""","Babītes novads"
"Privātā vidusskola ""MAXVEL""","Rīga"
"Privātsākumskola ""Varavīksne""","Liepāja"
"Purmsātu speciālā internātpamatskola","Priekules novads"
"Raiskuma internātpamatskola – rehabilitācijas centrs","Pārgaujas novads"
"Ramatas sākumskola","Mazsalacas novads"
"Raudas internātpamatskola","Ilūkstes novads"
"Rīgas 1. speciālā internātpamatskola","Rīga"
"Rīgas 5. speciālā internātpamatskola","Rīga"
"Rīgas Ezerkrastu pamatskola","Rīga"
"Rīgas internātvidusskola bērniem ar dzirdes traucējumiem","Rīga"
"Rīgas Kristīgā sākumskola","Rīga"
"Rīgas Montessori sākumskola","Rīga"
"Rites pamatskola","Viesītes novads"
"Sākumskola ""Ābelīte""","Jūrmala"
"Sākumskola ""Taurenītis""","Jūrmala"
"Sākumskola Taurenītis",Jūrmala
"Skaistas sākumskola","Krāslavas novads"
"Strazdumuižas internātvidusskola - attīstības centrs vājredzīgiem un neredzīgiem bērniem","Rīga"
"Talsu sākumskola","Talsu novads"
"Tārgales pamatskola","Ventspils novads"
"Taurupes pamatskola","Ogres novads"
"Tukuma internātpamatskola","Tukuma novads"
"Upesgrīvas internātpamatskola","Talsu novads"
"Vaidavas internātpamatskola","Kocēnu novads"
"Valmieras Pārgaujas sākumskola","Valmiera"
"Valmieras sākumskola","Valmiera"
"Ventspils Centra sākumskola","Ventspils"
"Vidagas Sikšņu pamatskola","Apes novads"
"Zālītes speciālā internātpamatskola","Iecavas novads"
"Zemgales vidusskola (Daugavpils novads)","Daugavpils novads"
"Zemgales vidusskola (Tukuma novads)","Tukuma novads"
"Vidagas Sikšņu pamatskola (Apes novads)","Apes novads"
"Rīgas Tālmācības vidusskola (Iecavas novads)","Iecavas novads"
"Eglaines pamatskola (Ilūkstes novads)","Ilūkstes novads"
"Rīgas Ziepniekkalna sākumskola",Rīga
"Aizkraukles pilsētas sākumskola","Aizkraukles novads"
"Salaspils 1. vidusskola","Salaspils novads"
"Alūksnes pilsētas sākumskola","Alūksnes novads"
"Āgenskalna sākumsskola",Rīga
"Āgenskalna sākumskola",Rīga
"Rīgas Āgenskalna sākumskola",Rīga
"A. Upīša Skrīveru vidusskola","Skrīveru novads"
"Cēsu pilsētas Pastariņa sākumskola","Cēsu novads"
"Cēsu Pilsētas vidusskola","Cēsu novads"
"Rīgas Starptautiskā skola",Rīga
"Latvijas Starptautiskā skola",Jūrmala
"J. Čakstes Liepājas pilsētas 10. vidusskola",Liepāja
Preiļu novada Salas pamatskola,"Preiļu novads"
"Ādažu Brīvā Valdorfa skola","Ādažu novads"
"Privātā vidusskola Laisma",Rīga
"DA Cēsu Valsts ģimnāzija","Cēsu novads"
"Gulbenes novada Valsts ģimnāzija","Gulbenes novads"
"DA Liepājas pilsētas 5. vidusskola",Liepāja
"Rīgas 7.pamatskola",Rīga
"Zirņu pamatskola","Saldus novads"
"Salaspils 2.vidusskola","Salaspils novads"
"Salas vidusskola (Salas nov.)","Salas novads"
"ISMA vidusskola Premjers",Rīga
"ISMA vidusskola ""Premjers""",Rīga
"Rigas Lietuviesu vidusskola",Rīga
"Liepajas pilsetas 8. vidusskola",Liepāja
"Agenskalna sakumskola",Rīga
"Ventspil 3.vidusskola",Ventspils
"J.G.Herdera Rigas Grizinklana vidusskola",Rīga
"Jurmalas sakumskola ""Atvase""",Jūrmala
"Jūrmalas sākumskola ""Atvase""",Jūrmala
"Jurmalas Alternetiva skola",Jūrmala
"Riga International meridian School",Rīga
"ISMA vidusskola ""PREMJERS""",Rīga
"Tukuma E. Birznieka - Upiša 1.pamatskola","Tukuma novads"
"Ezernieku vidusskola, Dagdas novads","Dagdas novads"
"Laurencu sakumsskola","Siguldas novads"
"Kocenu novada Rubenes pamatskola","Kocēnu novads"
"Kocēnu novada Rubenes pamatskola","Kocēnu novads"
"A. Spaga Dunalkas pamatskola","Durbes novads"
"A. Spāģa Dunalkas pamatskola","Durbes novads"
"Liepajas Valsts tehnikums",Liepāja
"Riebinu novada Galenu pamatskola","Riebiņu novads"
"Pamatskola ""Harmonija""",Rīga
"PIKC Liepājas Valsts Tehnikums",Liepāja
"Rīgas Avotu pamatskola",Rīga
"Rīgas V.Avotiņa pamatskola - attīstības centrs",Rīga
"Rīgas Valda Avotiņa pamatskola - attīstības centrs",Rīga
"RTU inženierzinātņu vidusskola",Rīga
"Rudes pamatskola","Nīcas novads"
"Sikšņu pamatskola","Rucavas novads"

