Teritorija;SkoleniPavisam2011;SkoleniZeni2011;SkoleniMeitenes2011;SkoleniPavisam2012;SkoleniZeni2012;SkoleniMeitenes2012;SkoleniPavisam2013;SkoleniZeni2013;SkoleniMeitenes2013;SkoleniPavisam2014;SkoleniZeni2014;SkoleniMeitenes2014;SkoleniPavisam2015;SkoleniZeni2015;SkoleniMeitenes2015
"Priekuļu novads";1144;583;561;1071;553;518;1039;530;509;1014;517;497;978;502;476
"Raunas novads";466;224;242;425;206;219;414;203;211;392;196;196;401;205;196
"Rēzeknes novads";3758;1964;1794;3610;1900;1710;3459;1830;1629;3353;1763;1590;3356;1762;1594
"Riebiņu novads";811;443;368;745;406;339;691;383;308;651;364;287;615;351;264
"Rojas novads";507;244;263;480;231;249;446;227;219;420;208;212;418;199;219
"Ropažu novads";848;425;423;832;418;414;792;404;388;799;419;380;803;419;384
"Rucavas novads";240;131;109;199;111;88;192;108;84;189;105;84;179;104;75
"Rugāju novads";336;173;163;326;165;161;318;157;161;294;148;146;276;140;136
"Rundāles novads";480;253;227;431;226;205;430;215;215;423;213;210;414;215;199
"Rūjienas novads";664;322;342;637;323;314;601;306;295;571;292;279;581;292;289
"Salacgrīvas novads";1109;584;525;1041;549;492;958;505;453;909;470;439;878;438;440
"Salas novads";567;313;254;511;283;228;485;274;211;464;256;208;456;250;206
"Salaspils novads";2489;1258;1231;2463;1254;1209;2523;1300;1223;2549;1308;1241;2628;1344;1284
"Saldus novads";3825;1958;1867;3601;1840;1761;3392;1723;1669;3262;1643;1619;3176;1609;1567
"Saulkrastu novads";613;307;306;598;296;302;593;290;303;597;288;309;596;300;296
"Sējas novads";292;153;139;268;142;126;277;142;135;278;142;136;278;142;136
"Siguldas novads";2120;1054;1066;2034;995;1039;1986;984;1002;1988;986;1002;2064;1024;1040
"Skrīveru novads";435;204;231;395;182;213;380;173;207;365;170;195;372;172;200
"Skrundas novads";759;397;362;716;369;347;689;358;331;676;348;328;666;338;328
"Smiltenes novads";1795;948;847;1683;875;808;1630;841;789;1569;824;745;1565;814;751
"Stopiņu novads";1321;689;632;1294;671;623;1331;690;641;1353;696;657;1423;734;689
"Strenču novads";417;212;205;403;208;195;385;202;183;376;196;180;370;200;170
"Talsu novads";4359;2286;2073;4071;2143;1928;3841;2043;1798;3738;1982;1756;3661;1929;1732
"Tērvetes novads";511;261;250;478;247;231;434;223;211;407;208;199;389;202;187
"Tukuma novads";4325;2204;2121;4125;2105;2020;3968;2029;1939;3847;1983;1864;3856;1994;1862
"Vaiņodes novads";370;196;174;351;183;168;335;171;164;312;156;156;308;162;146
"Valkas novads";1094;557;537;1014;521;493;973;503;470;951;488;463;918;480;438
"Varakļānu novads";516;255;261;490;247;243;439;228;211;415;218;197;401;220;181
"Vārkavas novads";301;154;147;283;143;140;253;130;123;241;120;121;211;105;106
"Vecpiebalgas novads";546;282;264;507;257;250;497;257;240;471;252;219;459;246;213
"Vecumnieku novads";1208;643;565;1134;604;530;1075;586;489;1034;546;488;1010;541;469
"Ventspils novads";1707;892;815;1607;848;759;1572;829;743;1546;819;727;1551;831;720
"Viesītes novads";564;300;264;526;271;255;505;255;250;497;248;249;466;241;225
"Viļakas novads";769;400;369;740;384;356;694;359;335;679;351;328;649;334;315
"Viļānu novads";823;400;423;771;380;391;742;363;379;719;349;370;697;326;371
"Zilupes novads";459;232;227;461;239;222;445;227;218;421;218;203;398;202;196
